"drpm" "wddp" "lddp" "gmddp" "indcrp" "longcrp"
3312.48999380088 4682.7445810202 3380.69394471514 4781.10941877225 Inf 3474.73065545782
3448.48594467859 4740.76901336852 3316.9435059156 4837.10627380698 3559.26107246266 3496.83983318301
3390.15583516657 4691.19076240929 3230.30350417903 4785.56192159737 3484.61909625831 3471.30659422946
3326.22948549702 4675.81986233244 3425.1206352075 4796.13920158706 3495.81399956914 3475.41541429453
3298.47112092475 4703.20416923145 3302.03431570478 4812.36917977465 Inf 3521.91000099248
3304.48386191076 4708.35101744209 3231.58985761474 4801.53956362671 Inf 3464.18870018575
3409.15564278819 4719.80209922018 3210.98748243566 4844.49656766805 3492.42044784094 3503.66356667264
3368.11981174271 4694.22408664851 3269.73513041085 4810.33974775455 3548.45637186164 3484.18504169062
3506.67698161447 4709.61253544465 3416.72711772526 4869.65773585645 3547.61968446037 3551.4774363339
3259.89722856306 4709.87187721174 3405.11445227325 4827.4496447687 3520.32452245087 3520.63949252526
3456.80027398779 4729.06268194781 3286.4590180366 4820.38872912183 3494.29377434231 3501.13408774572
3399.87462061433 4671.10406656488 3282.75232725815 4771.88414343852 3519.35586378616 3476.31205930528
3314.6122839351 4670.25107449376 3246.6653615345 4746.63134692797 3508.50498004985 3466.80322422616
3477.75598573564 4733.44490256678 3235.48911463262 4838.21307175008 Inf 3509.53475504677
3267.70551347288 4720.22128961539 3324.98856238887 4815.53081841567 3532.90649647869 3503.72323828199
3322.59042876148 4717.55239330378 3239.84099450401 4817.42174602952 3535.97021371114 3490.32525887626
3295.87880134695 4763.18095414984 3312.21477680109 4869.11558047505 3559.40239867917 Inf
3346.22739761242 4712.21040899869 3266.91414722985 4832.97861265949 Inf 3545.35496839433
3223.19280981292 4640.12315143412 3239.17392387666 4743.24985130218 3410.7106515219 3362.9201931513
3298.29887861193 4710.81097168519 3182.62018060023 4776.26306658879 3501.9045329671 3469.73522323976
3366.37885635388 4683.41302506485 3332.65977595371 4790.63351404495 3513.33784957699 3494.59085407589
3252.37187587008 4742.03469790284 3181.70656356349 4827.83748346319 3519.15336918905 3475.01534854749
3466.94810491649 4691.06742241932 3281.8020937927 4811.9286573364 3505.83469965076 3472.09180233225
3386.44460012376 4678.02691023746 3395.99602859308 4768.49216079141 Inf 3499.42798282127
3317.34104013805 4683.33015861812 3314.90582488732 4760.35130201057 Inf 3454.45813419415
3319.05631684944 4761.20181947127 3067.12103216172 4847.88348528479 3528.3174202272 3510.6767055147
3358.73013542764 4693.8139864933 3357.92220839464 4835.23217030736 3557.7127604082 3520.89687559575
3458.93105038072 4684.1919101 3351.42934335633 4772.69430460233 Inf 3496.32967965405
3511.44452607588 4697.04968886898 3415.34312558147 4797.13666955927 3544.88596523268 3491.14986845303
3377.09395206445 4737.5633254791 3293.38132825775 4848.55456982322 3533.29951659263 3501.58150319516
3383.36257512499 4693.67286712758 3400.13708251685 4814.17531043857 Inf 3499.99753528854
3323.68439350356 4733.03389393904 3205.69870285642 4828.21298571314 3531.30289203008 3528.21764664863
3322.72962811663 4667.74362090559 3148.74729940783 4796.95876914684 3501.26328722421 3448.02993182235
3432.01114044907 4720.32682997923 3259.00486291256 4844.45717810287 3520.85672647761 3506.11769681639
3505.65398804244 4707.24392473898 3226.06492108833 4792.52643400026 Inf 3509.55248707578
3518.186887297 4724.01343306997 3323.67157789796 4832.4933818955 3539.95255829696 3531.11205466425
3261.99569758247 4677.1109549491 3287.3616086219 4750.89184642733 3502.72185696975 3471.23517747067
3372.00277615924 4715.83393328855 3065.99032686828 4808.47421999348 3527.74994770883 3494.49976197139
3289.29469905641 4681.05164290039 3234.69608591741 4775.2543698393 3495.98742457031 3486.82192187871
3392.75529102761 4707.40526534782 3253.64847552309 4819.59257629084 Inf 3519.11298200368
3270.94271006252 4674.01151590105 3476.20609231782 4787.45058193802 Inf 3497.54307146846
3441.39234342617 4707.6668272982 3256.27398750573 4825.91938402307 3507.46175560613 3466.95435766856
3432.648004737 4712.70572740861 3343.8263717793 4800.9941553043 3532.10368372984 3508.86947555053
3129.12012383342 4652.86050335784 3277.93641493776 4760.71734578847 3424.05770259631 3408.71850434564
3401.40075457934 4713.05000269119 3328.27454245396 4824.11868434367 3526.78005609314 3487.39606506052
3429.40785726044 4709.35785656152 3274.25790009264 4831.2111729858 3552.99710432657 3499.23412960847
3363.63554441827 4651.51672144649 3386.075796692 4784.66923499936 Inf 3423.56762873463
3343.81292988919 4674.29269083453 3333.68162534598 4818.65842595517 Inf 3478.58385915271
3500.64882739145 4709.45958048293 3300.39234627242 4814.56161860279 3551.23362889213 Inf
3383.25093771141 4695.26127773572 3326.42275117211 4810.84507314061 3546.11673627036 3507.42917183296
3343.29072722207 4695.62435868745 3323.68650016286 4782.6735041632 3528.26473676519 3516.1461183698
3304.11340997373 4671.24672012776 3331.78712179638 4811.7946621647 3534.24257312355 3498.53253833201
3322.74503954117 4712.59797807714 3297.44913052267 4800.62041192116 3566.9498278325 3529.98445876271
3337.29249026702 4728.50650506143 3185.25737304088 4814.68287642171 3545.54745539759 3487.7781972317
3397.82555825043 4672.16779766738 3233.67930100479 4752.38325676386 3506.42448218914 3473.97227697783
3489.82900032672 4728.3137264305 3355.04659576842 4856.34713410585 3581.14971898854 3550.35917608157
3454.13308129853 4712.54689532524 3334.41767411054 4799.37210851225 Inf 3509.735408031
3408.80981618855 4696.99856213928 3334.59518397193 4806.47583380948 Inf 3514.8623339508
3516.49495667059 4719.12380525581 3368.20510896704 4836.03872508112 3511.95224977668 3484.47971375355
3368.28136073582 4704.76776030439 3231.18240270676 4802.91143322151 3513.36827238434 3446.59282075195
3443.53307130878 4711.11932069491 3260.16106208666 4821.32521329552 Inf 3482.67594977871
3356.60140170072 4733.67489988227 3334.55494336811 4846.76672961168 3505.33148633691 3496.39756275661
3427.60444503617 4726.57791616159 3162.45992376638 4843.01017323764 3562.61381804608 3515.94025079402
3528.26559362789 4728.56161564314 3383.87285780187 4873.63103660884 Inf 3528.69113168267
3307.57856101125 4729.94232180808 3139.73209659868 4822.52871137766 3522.2836561226 3487.46219930058
3349.62944852736 4677.98540339988 3253.25730027842 4782.59937054947 3500.61970730948 3503.81288081304
3319.29904441349 4733.55889030138 3317.46824540144 4823.36976926898 3562.41778266055 3525.13636484786
3171.24900475266 4726.81301061357 3300.71604995371 4852.69359185352 Inf 3517.74346367749
3379.29793687348 4722.80064043438 3400.18995860996 4827.16826299349 Inf 3544.40352512228
3428.07943656591 4730.12583071874 3416.90423364438 4850.63518726811 Inf 3534.14372104694
3291.96538621203 4701.1340717319 3209.24390653261 4784.94598646802 3525.65836974855 3470.22478137087
3405.45083241573 4685.58828951662 3107.19919411235 4799.28460158349 3499.80948303364 3459.46056715181
3306.77209569684 4726.14243276002 3353.78835480917 4879.24970187427 3568.61262955431 3544.02436690822
3392.70058669049 4655.60011364407 3400.48867320448 4781.7445976142 3507.20972794642 3464.33150598934
3308.37954488426 4671.15730054117 3252.97891964185 4765.89981113915 Inf 3410.66167891624
3355.25911219096 4713.8143149289 3316.24630479299 4852.11503613838 3518.45380541667 3451.83034986515
3332.32822027378 4684.10086468605 3270.20036376285 4783.52995578551 Inf 3447.29704467876
3387.64108529118 4729.18004149205 3339.30738008965 4839.65362738177 Inf 3513.2884317277
3452.55862479952 4756.13932024787 3263.48661792276 4819.57220846034 3568.1703535262 3526.63326189388
3404.73317351879 4687.94166468772 3352.69394518409 4825.7586038013 3517.9664888697 3512.65311390479
3371.02666420852 4701.8955085254 3466.92320854873 4836.33064413422 Inf 3542.90059499315
3448.58435666617 4706.78322397238 3216.92716049441 4799.43196217046 3503.6760311982 3475.70125511674
3348.25410021381 4726.74937744068 3244.69864356695 4811.3847245988 3505.03072556817 3494.57687152995
3315.28770831986 4616.31471203618 3348.4975332393 4730.77845416405 Inf 3445.54674710808
3408.75294660571 4702.32720438089 3347.73992764372 4796.17870678872 Inf 3495.00119256249
3411.82512630682 4692.15818379654 3228.04829669607 4794.60923678652 3484.04376967493 3490.08963712313
3190.87361714971 4699.59304536638 3194.71448526453 4820.98262017867 3521.27055651136 3482.34037168352
3216.52163615167 4737.9018719575 3220.13479923495 4842.80515213183 3521.15327855318 3513.44136227127
3277.31849983555 4709.18584041038 3171.72090365536 4782.57492566611 3485.92751314125 3421.61643203036
3238.52331135489 4665.53161222968 3201.01327213512 4763.47650939355 3439.74772842083 3393.24177212788
3406.24718593002 4731.09256818428 3284.07622024985 4851.0569635412 3546.76878723988 3526.25676930669
3437.51330565738 4686.82504086882 3273.57189874321 4789.41334541508 3555.0276761075 3536.19062625126
3369.5693769691 4680.59183281392 3186.55248339804 4801.72057159897 3470.11516092218 3461.3120291826
3331.30695216142 4731.05322746273 3480.30769729259 4858.92873850795 3546.06030521729 3537.81482048917
3465.76873544342 4737.73031564434 3473.98968132702 4857.10537348133 3558.34563482589 3566.31946431457
3254.88348946935 4701.3193675022 3138.58538900881 4801.0702965774 3517.83308054053 3492.23578995501
3249.20414758002 4644.13520159105 3315.34342915033 4738.1978101451 3413.81049347297 3397.67213264354
3351.79244136051 4711.39344852735 3217.56775242121 4775.16098805607 Inf 3533.079344574
3321.05458989425 4707.55979461415 3391.40989686113 4810.29682037977 Inf 3498.08944863383
3449.66725580093 4692.19729765687 3344.36209483281 4765.30290363643 3483.59520140465 3481.53533489576
